DATE,GENDER,GRADE,REGION
30,Male,10.0,Fergana
30,Male,10.0,Fergana
30,Female,9.0,Tashkent city
30,Male,9.0,Tashkent city
30,Female,11.0,Andijan
30,Female,10.0,Namangan
30,Male,9.0,Andijan
30,Female,Senior,Tashkent city
30,Male,11.0,Namangan
30,Female,11.0,Samarkand
30,Male,9.0,Sirdarya
30,Male,9.0,Sirdarya
30,Male,9.0,Tashkent region
30,Female,10.0,Andijan
30,Male,11.0,Fergana
30,Male,10.0,Namangan
30,Male,10.0,Fergana
30,Female,9.0,Bukhara
30,Female,10.0,Karakalpakistan
30,Male,9.0,Fergana
30,Female,10.0,Kashkadarya
30,Male,11.0,Kashkadarya
30,Female,Freshman,Bukhara
30,Female,10.0,Tashkent city
30,Female,11.0,Samarkand
30,Female,9.0,Tashkent city
30,Female,Sophomore,Bukhara
30,Female,11.0,Fergana
30,Female,10.0,Khorazm
30,Female,Freshman,Samarkand
30,Female,9.0,Navoi
30,Male,10.0,Sirdarya
30,Female,10.0,Namangan
30,Male,9.0,Tashkent region
30,Male,Freshman,Kashkadarya
30,Female,9.0,Tashkent city
30,Male,10.0,Surkhandarya
30,Male,10.0,Kashkadarya
30,Male,10.0,Jizzakh
30,Female,Sophomore,Khorazm
30,Male,10.0,Surkhandarya
30,Male,10.0,Fergana
30,Female,9.0,Karakalpakistan
30,Male,11.0,Khorazm
30,Male,10.0,Fergana
30,Female,9.0,Kashkadarya
30,Female,10.0,Bukhara
30,Female,10.0,Navoi
30,Male,10.0,Surkhandarya
30,Female,11.0,Navoi
30,Male,10.0,Khorazm
30,Male,9.0,Navoi
30,Female,10.0,Navoi
30,Male,9.0,Bukhara
30,Male,9.0,Navoi
30,Male,10.0,Surkhandarya
30,Female,9.0,Karakalpakistan
30,Female,9.0,Fergana
30,Male,Senior,Bukhara
30,Female,10.0,Fergana
30,Male,10.0,Fergana
30,Female,10.0,Karakalpakistan
30,Female,9.0,Tashkent region
30,Male,10.0,Jizzakh
30,Male,9.0,Tashkent city
30,Male,9.0,Tashkent city
30,Male,Junior,Tashkent city
30,Male,10.0,Surkhandarya
30,Male,11.0,Khorazm
30,Male,11.0,Tashkent city
30,Male,10.0,Tashkent city
30,Female,Freshman,Namangan
30,Male,Junior,Tashkent city
30,Female,Sophomore,Surkhandarya
30,Male,9.0,Tashkent city
30,Male,10.0,Bukhara
30,Female,10.0,Khorazm
30,Female,10.0,Samarkand
30,Female,10.0,Fergana
30,Male,9.0,Tashkent region
30,Male,9.0,Andijan
30,Male,9.0,Navoi
30,Female,10.0,Fergana
30,Male,10.0,Kashkadarya
30,Male,9.0,Navoi
30,Male,10.0,Tashkent city
30,Male,10.0,Surkhandarya
30,Female,10.0,Tashkent region
30,Male,11.0,Navoi
30,Male,11.0,Samarkand
30,Female,11.0,Tashkent city
30,Female,10.0,Andijan
30,Male,11.0,Tashkent city
30,Female,10.0,Tashkent region
30,Male,9.0,Fergana
30,Male,9.0,Tashkent city
30,Male,11.0,Samarkand
30,Female,11.0,Sirdarya
30,Male,11.0,Andijan
30,Male,11.0,Jizzakh
30,Female,Sophomore,Fergana
30,Female,11.0,Tashkent city
30,Male,10.0,Khorazm
30,Male,9.0,Tashkent city
31,Female,9.0,Fergana
31,Female,Senior,Sirdarya
3,Female,9.0,Tashkent city
31,Female,10.0,Tashkent city
31,Female,Freshman,Tashkent region
31,Male,9.0,Tashkent city
31,Female,9.0,Sirdarya
31,Male,10.0,Khorazm
31,Female,10.0,Kashkadarya
31,Female,9.0,Khorazm
31,Female,11.0,Tashkent city
31,Female,10.0,Tashkent region
31,Female,9.0,Khorazm
31,Female,11.0,Samarkand
31,Male,10.0,Tashkent city
31,Female,10.0,Kashkadarya
31,Female,10.0,Surkhandarya
